code,name
864300,Абагур-Лесной (З-Сиб)
865065,Абагуровский (рзд) (З-Сиб)
535004,Абадзехская (С-Кав)
795736,Абаевский (Сверд)
887500,Абаза (Крас)
531107,Абазинка (С-Кав)
888004,Абакан (Крас)
888108,Абакан (перев.) (Крас)
889401,Абакумовка (рзд) (Крас)
882309,Абалаково (Крас)
612408,Абганерово (Прив)
659902,Абдулино (Кбш)
523505,Абинская (С-Кав)
066510,Абово (Окт)
583600,Абрамовка (Ю-Вост)
306813,Абросимово (рзд) (Сев)
043010,Абросово (Окт)
972064,Аван (ДВост)
918337,Аваха (рзд) (ДВост)
889149,Авда (рзд) (Крас)
880356,Аверьяновка (Крас)
193006,Авиационная (Моск)
622522,Авилово (Прив)
231903,Авсюнино (Моск)
943610,Ага (Заб)
778800,Агириш (Сверд)
524508,Агроном (С-Кав)
254905,Агрыз (Горьк)
889440,Агул (рзд) (Крас)
622202,Ададурово (Прив)
815747,Адамовка (узк.) (Ю-Ур)
974214,Адарка (ДВост)
633226,Адикаевка (рзд) (Кбш)
765321,Адищево (рзд) (Сверд)
532805,Адлер (С-Кав)
250228,Адмиралтейская Слобода (рзд) (Горьк)
919005,Адникан (рзд) (ДВост)
943305,Адриановка (Заб)
785403,Адуй (Сверд)
788408,Азанка (Сверд)
188601,Азарово (Моск)
922205,Азей (В-Сиб)
772908,Азиатская (Сверд)
276834,Азино (Горьк)
177450,Азобичи (рзд) (Моск)
518704,Азов (перев.) (С-Кав)
869304,Азовская (Крым)
172705,Азотная (Моск)
806466,Ай (Ю-Ур)
868405,Айвазовская (Крым)
654010,Айгир (рзд) (Кбш)
815802,Айдырля (Ю-Ур)
798236,Айка (рзд) (Сверд)
837303,Айнак (З-Сиб)
062900,Академическая (Окт)
647523,Акбаш (Кбш)
026809,Аконъярви (Окт)
192003,Акри (Моск)
966311,Аксака (рзд) (ДВост)
656500,Аксаково (Кбш)
252420,Аксаматово (Горьк)
617505,Аксарайская (Прив)
617007,Аксарайская II (Прив)
792831,Аксариха (Сверд)
835933,Аксениха (обп) (З-Сиб)
656752,Аксеново (Кбш)
774015,Актай (рзд) (Сверд)
648005,Акташ (Кбш)
906537,Аку (рзд) (В-Сиб)
